,time,open,high,low,close,tick_volume,spread,real_volume
102,1673269380,1.21183,1.21194,1.21167,1.21167,60,5,0
103,1673269440,1.21169,1.2127,1.21169,1.21267,165,5,0
104,1673269500,1.21267,1.21267,1.21223,1.21229,145,5,0
105,1673269560,1.2123599999999999,1.2123599999999999,1.212,1.21218,84,5,0
106,1673269620,1.21218,1.21219,1.21187,1.21211,123,5,0
107,1673269680,1.21212,1.21296,1.21209,1.21295,101,3,0
108,1673269740,1.2129699999999999,1.21308,1.21271,1.2128700000000001,112,5,0
109,1673269800,1.2128700000000001,1.21296,1.21268,1.21269,80,5,0
110,1673269860,1.21271,1.21282,1.21262,1.2127,71,5,0
111,1673269920,1.2127,1.21294,1.21259,1.2128,118,5,0
112,1673269980,1.21282,1.213,1.21282,1.21299,81,5,0
113,1673270040,1.213,1.21312,1.2128,1.21309,78,5,0
114,1673270100,1.21304,1.21322,1.21302,1.2132100000000001,67,5,0
115,1673270160,1.2132100000000001,1.21341,1.21307,1.21309,64,5,0
116,1673270220,1.21309,1.21309,1.21252,1.21266,85,5,0
117,1673270280,1.21266,1.21279,1.21244,1.21245,92,5,0
118,1673270340,1.21247,1.21284,1.21238,1.21277,81,5,0
119,1673270400,1.21277,1.21281,1.21235,1.21277,96,5,0
120,1673270460,1.21279,1.2132100000000001,1.21276,1.2129,64,5,0
121,1673270520,1.2129,1.2133,1.2129,1.21326,68,5,0
122,1673270580,1.21324,1.2133,1.21305,1.21325,65,5,0
123,1673270640,1.21325,1.21341,1.21308,1.21316,95,5,0
124,1673270700,1.21316,1.21328,1.21308,1.2132100000000001,47,5,0
125,1673270760,1.2132100000000001,1.21353,1.21314,1.21342,77,5,0
126,1673270820,1.21343,1.21371,1.21328,1.2136,61,5,0
127,1673270880,1.21359,1.2139,1.2134800000000001,1.21367,86,5,0
128,1673270940,1.21367,1.2142,1.21351,1.21403,91,5,0
129,1673271000,1.21404,1.21408,1.21338,1.21338,95,5,0
130,1673271060,1.21335,1.21349,1.21318,1.2133,57,5,0
131,1673271120,1.2133,1.21369,1.2133,1.21366,80,5,0
132,1673271180,1.21362,1.21371,1.21347,1.21367,76,5,0
133,1673271240,1.21367,1.2137,1.21346,1.2137,62,5,0
134,1673271300,1.21371,1.21371,1.21354,1.21354,71,5,0
135,1673271360,1.21351,1.21352,1.21318,1.21328,100,5,0
136,1673271420,1.21328,1.21368,1.21326,1.2136,65,5,0
137,1673271480,1.21362,1.21366,1.21338,1.2135799999999999,46,5,0
138,1673271540,1.2135799999999999,1.2136,1.21294,1.2129699999999999,73,5,0
139,1673271600,1.21298,1.2138200000000001,1.21298,1.21366,86,5,0
140,1673271660,1.21366,1.21384,1.21356,1.21357,74,5,0
141,1673271720,1.21357,1.2139,1.2134800000000001,1.21375,54,5,0
142,1673271780,1.21373,1.21395,1.21356,1.21395,60,5,0
143,1673271840,1.21395,1.21418,1.21379,1.21407,81,5,0
144,1673271900,1.21406,1.2140900000000001,1.2139,1.21406,77,5,0
145,1673271960,1.21405,1.21405,1.21374,1.21386,47,5,0
146,1673272020,1.21387,1.21424,1.21386,1.21423,79,5,0
147,1673272080,1.21423,1.21445,1.2141,1.21418,88,3,0
148,1673272140,1.21418,1.21431,1.2140900000000001,1.2143,72,5,0
149,1673272200,1.2143,1.21442,1.21423,1.21428,68,5,0
150,1673272260,1.21427,1.21432,1.2141899999999999,1.21427,61,5,0
151,1673272320,1.21429,1.21442,1.21413,1.21436,111,5,0
152,1673272380,1.21438,1.21447,1.21415,1.21423,73,5,0
153,1673272440,1.21423,1.21444,1.21423,1.21439,49,5,0
154,1673272500,1.21439,1.21439,1.21425,1.21429,66,5,0
155,1673272560,1.21429,1.21435,1.21416,1.21417,62,5,0
156,1673272620,1.21417,1.21444,1.21415,1.21436,57,5,0
157,1673272680,1.21436,1.21444,1.21426,1.21432,82,5,0
158,1673272740,1.21432,1.2144300000000001,1.2143,1.2144,69,5,0
159,1673272800,1.21439,1.21444,1.2139199999999999,1.21396,75,5,0
160,1673272860,1.214,1.2143,1.21395,1.21429,90,5,0
161,1673272920,1.21429,1.2143,1.21366,1.21372,98,5,0
162,1673272980,1.21375,1.21406,1.21374,1.21396,88,5,0
163,1673273040,1.21397,1.21428,1.21396,1.21415,86,5,0
164,1673273100,1.21413,1.21432,1.21404,1.21428,65,5,0
